Municipio;Codigo;Orden;U. Genera;Ejecucion;Duracion Odt;latitud;longitud
TUQUERRES;1211945;25745779;Facturacion;2023-05-02 10:10;00:18 Min;1.088828;-77.6117089
TUQUERRES;302688;25745780;Facturacion;2023-04-29 09:47;00:13 Min;1.0889563;-77.6114465
TUQUERRES;1215923;25745782;Facturacion;2023-04-29 10:04;00:14 Min;1.0890848;-77.6113914
TUQUERRES;1051213;25745783;Facturacion;2023-04-29 09:31;00:13 Min;1.0890386;-77.6108222
SAPUYES;326510;25745800;Facturacion;2023-04-29 09:55;00:16 Min;1.0478581;-77.6900571
SAPUYES;326508;25745805;Facturacion;2023-04-29 10:11;00:12 Min;1.0479176;-77.690105
SAPUYES;641791;25745809;Facturacion;2023-04-29 09:28;00:09 Min;1.0483782;-77.6895882
TUQUERRES;542030;25745811;Facturacion;2023-05-02 15:01;00:13 Min;1.0682939;-77.6576088
SAPUYES;326506;25745816;Facturacion;2023-04-29 09:41;00:13 Min;1.0480917;-77.6900207
SAPUYES;326330;25745822;Facturacion;2023-04-29 10:44;00:47 Min;1.0476099;-77.6928478
SAPUYES;326658;25745826;Facturacion;2023-05-02 11:46;00:20 Min;1.0474041;-77.6926207
SAPUYES;326488;25745838;Facturacion;2023-04-29 10:27;00:12 Min;1.0473457;-77.6912755
SAPUYES;608762;25745844;Facturacion;2023-04-29 09:12;00:13 Min;1.0504311;-77.6849442
SAPUYES;326618;25745848;Facturacion;2023-04-29 08:57;00:10 Min;1.0506736;-77.6821589
TUQUERRES;326154;25745924;Facturacion;2023-05-02 14:36;00:17 Min;1.0710672;-77.6595809
TUQUERRES;1192800;25745948;Facturacion;2023-05-03 11:59;00:17 Min;1.0653988;-77.6127876
TUQUERRES;305838;25745949;Facturacion;2023-05-03 14:35;00:14 Min;1.1179167;-77.6337926
TUQUERRES;299692;25745969;Facturacion;2023-05-02 14:25;01:22 Min;1.0873318;-77.6185347
MALLAMA;1203985;25745981;Facturacion;2023-05-16 12:38;00:16 Min;1.1637693;-77.9000719
OSPINA;1178418;25745982;Ges. Energetica;2023-05-08 13:45;00:18 Min;1.0023703;-77.5679289
OSPINA;397690;25745989;Ges. Energetica;2023-05-08 13:33;00:07 Min;1.0030222;-77.5681659
OSPINA;627686;25745991;Ges. Energetica;2023-05-08 14:29;00:04 Min;1.0015694;-77.5685864
OSPINA;397676;25746001;Ges. Energetica;2023-05-08 14:15;00:05 Min;1.004451;-77.5652943
IMUES;417702;25746008;Ges. Energetica;2023-05-04 13:39;00:33 Min;1.0527978;-77.4512864
TUQUERRES;474296;25746012;Ges. Energetica;2023-05-03 14:26;00:20 Min;1.0892655;-77.6131112
TUQUERRES;1182044;25746022;Ges. Energetica;2023-05-02 16:56;00:12 Min;1.0777777433395386;-77.61722564697266
TUQUERRES;1182034;25746024;Ges. Energetica;2023-05-02 17:08;00:10 Min;1.0778005123138428;-77.61722564697266
TUQUERRES;1182079;25746026;Ges. Energetica;2023-05-02 13:07;00:08 Min;1.0778005123138428;-77.61722564697266
TUQUERRES;302746;25747659;Control Perdidas;2023-04-29 12:01;01:18 Min;1.0889116525650024;-77.61166381835938
TUQUERRES;1090602;25747834;Ges. Energetica;2023-04-29 13:22;00:25 Min;1.0978004932403564;-77.6513900756836
MALLAMA;1049472;25748524;Control Perdidas;2023-04-28 14:13;01:20 Min;1.1898962259292603;-77.94523620605469
TUQUERRES;305664;25748541;Ges. Energetica;2023-04-29 13:50;00:38 Min;1.0978004932403564;-77.6513900756836
RICAURTE;1003002;25748549;Ges. Energetica;2023-04-29 16:00;01:21 Min;1.2097221612930298;-77.99333190917969
TUQUERRES;1182173;25832732;Facturacion;2023-05-03 15:15;00:16 Min;1.0778408;-77.617461
GUAITARILLA;315102;25832771;Ges. Energetica;2023-05-03 13:24;00:54 Min;1.1299076080322266;-77.50897216796875
GUAITARILLA;315094;25832777;Ges. Energetica;2023-05-04 15:54;00:32 Min;1.128055453300476;-77.508056640625
IMUES;1246538;25832879;Facturacion;2023-05-05 12:21;00:30 Min;1.0489313;-77.4531375
IMUES;1069095;25832882;Facturacion;2023-05-05 12:53;00:18 Min;1.0488572;-77.4531904
IMUES;1012701;25832912;Facturacion;2023-05-05 11:59;00:20 Min;1.048802;-77.4531838
IMUES;8553024;25832917;Facturacion;2023-05-05 12:40;00:22 Min;1.0737671;-77.5513669
IMUES;1122360;25833175;Facturacion;2023-05-05 14:07;00:29 Min;1.0517718;-77.4531548
IMUES;1070692;25833295;Facturacion;2023-05-05 10:08;00:28 Min;1.0538712;-77.4530826
TUQUERRES;1182054;25833320;Facturacion;2023-05-03 15:37;02:22 Min;1.0777579;-77.6172277
SAPUYES;1006494;25835588;Facturacion;2023-05-03 11:14;00:31 Min;1.0085713;-77.6306513
MALLAMA;1080488;25837804;Facturacion;2023-05-16 10:09;00:38 Min;1.1410948;-77.8649582
IMUES;1069099;25839317;Facturacion;2023-05-05 10:47;00:30 Min;1.0545481;-77.4532112
OSPINA;511780;25839513;Ges. Energetica;2023-05-08 14:41;00:27 Min;1.0049425;-77.5642332
TUQUERRES;1182143;25839516;Ges. Energetica;2023-05-03 09:54;01:05 Min;1.0776403;-77.6177403
TUQUERRES;1182129;25839525;Ges. Energetica;2023-05-03 08:36;01:17 Min;1.0776576;-77.6176788
TUQUERRES;1088154;25839533;Ges. Energetica;2023-05-03 11:15;01:31 Min;1.085501790046692;-77.6114501953125
SAPUYES;1107520;25839537;Facturacion;2023-05-03 13:08;01:14 Min;1.0219874;-77.6337443
SAPUYES;308158;25839540;Facturacion;2023-05-03 12:13;00:11 Min;1.0198036;-77.6344977
SAPUYES;308006;25839544;Facturacion;2023-05-03 10:43;00:08 Min;1.0069667;-77.6442296
TUQUERRES;1182187;25839546;Ges. Energetica;2023-05-03 08:32;01:33 Min;1.0776262;-77.6177457
GUACHUCAL;330374;25839547;Facturacion;2023-05-03 09:47;00:16 Min;0.973911;-77.689953
TUQUERRES;1182037;25839553;Ges. Energetica;2023-05-03 10:06;00:41 Min;1.0776308;-77.6177138
TUQUERRES;1135066;25841988;Facturacion;2023-05-04 09:03;00:23 Min;1.0912605;-77.6268124
SAPUYES;1010663;25842175;Facturacion;2023-05-04 09:10;01:14 Min;1.0317839;-77.6180504
TUQUERRES;8539524;25842244;Facturacion;2023-05-04 09:40;00:23 Min;1.0725627;-77.6544627
TUQUERRES;1068140;25842659;Facturacion;2023-05-04 11:54;00:30 Min;1.0793261;-77.6186968
IMUES;8564842;25842800;Ges. Energetica;2023-05-04 11:43;01:55 Min;1.0628737;-77.4693079
TUQUERRES;8556300;25843393;Ges. Energetica;2023-05-03 14:20;01:43 Min;1.0863622;-77.6265313
IMUES;8564864;25843784;Ges. Energetica;2023-05-04 11:25;01:33 Min;1.0631947;-77.4690975
IMUES;8564867;25843932;Ges. Energetica;2023-05-04 09:22;00:46 Min;1.0516702;-77.4960597
IMUES;8564870;25844161;Ges. Energetica;2023-05-04 13:34;01:56 Min;1.0492705;-77.4530228
MALLAMA;323956;25844718;Facturacion;2023-05-11 10:58;00:34 Min;1.1965665;-77.9756935
TUQUERRES;1030975;25845054;Facturacion;2023-05-04 10:10;00:17 Min;1.0723312;-77.644009
TUQUERRES;299760;25845055;Facturacion;2023-05-04 15:00;00:18 Min;1.0846978;-77.617207
ILES;625053;25845057;Facturacion;2023-05-12 11:58;00:22 Min;0.9964612;-77.546272
OSPINA;1198420;25845060;Facturacion;2023-05-04 13:16;00:21 Min;1.0183216;-77.5616888
TUQUERRES;1177656;25845062;Facturacion;2023-05-04 10:55;00:32 Min;1.1178981;-77.606715
OSPINA;316818;25845148;Facturacion;2023-05-04 12:14;00:10 Min;1.0494486;-77.5757813
