Codigo;Orden;latitud;longitud
8536699;24433315;1.6726569;-77.3292345
8562131;24456214;1.6143266;-77.13204
8562132;24456245;1.6143602;-77.1321091
8562133;24456383;1.4870178;-77.0871321
1170187;24473921;1.560295;-77.3583543
172064;24473985;1.5606215;-77.3586074
1111770;24474039;1.5602365;-77.3583263
8562143;24474332;1.4796421;-77.1131812
8562148;24474521;1.5697276;-77.3485724
8562152;24474630;1.6070367;-77.1326004
8562154;24474701;1.5994126;-77.132564
8562156;24475161;1.5993711;-77.1325711
8562163;24475645;1.5557464;-77.3269575
8562166;24475716;1.5720413;-77.3338727
8562167;24475835;1.5989581;-77.1283918
1080361;24475867;1.6116193;-77.1318841
1168653;24477626;1.6096854;-77.1324795
1022007;24502214;1.6142573;-77.1155375
8543728;24502900;1.6093786;-77.1320473
8521641;24503846;1.5940679;-77.1311476
1265600;24503923;1.5940975;-77.131067
8521645;24503933;1.5941144;-77.1311359
1253063;24503937;1.6022273;-77.1290124
8562222;24504420;1.5894576;-77.1333086
8562228;24504537;1.577766;-77.3443139
197452;24534614;1.4995591;-77.082422
1123572;24535085;1.6020338;-77.1289232
353012;24535625;1.600166;-77.1320401
1265601;24536154;1.5940908;-77.1311172
1166955;24537392;1.5986843;-77.130987
1166952;24537397;1.5986441;-77.1309255
1000954;24537423;1.4846549;-77.1729705
1004635;24537456;1.4757257;-77.1773685
8562272;24537885;1.5946836;-77.1309902
1042604;24537959;1.5714954;-77.1769937
1042606;24537964;1.5720355;-77.1781481
8562277;24537965;1.6630629;-77.1346849
640128;24537968;1.5598318;-77.16552
640117;24537976;1.5633962;-77.1666865
640135;24537980;1.5557071;-77.1714929
1253472;24537981;1.5557577;-77.1713623
1022228;24537990;1.6023298;-77.1702863
456436;24537996;1.6024731;-77.1661925
356598;24538001;1.6069111;-77.1590741
1034545;24538007;1.6077692;-77.1610653
172288;24538045;1.5609343;-77.3567522
8562284;24538086;1.5944468;-77.1324479
8562287;24538107;1.594506;-77.1324312
8562288;24538223;1.4640809;-77.1391089
8562289;24538296;1.5049543;-77.1359817
8562290;24538312;1.5701693;-77.2780651
8562291;24538334;1.5693034;-77.2795219
8562293;24538367;1.5692718;-77.2794727
8562294;24538375;1.5693143;-77.2794921
8562295;24538448;1.5023504;-77.2176187
8517055;24558922;1.5593833;-77.3589692
172054;24559844;1.5600922;-77.3585768
1154610;24559848;1.5625979;-77.3550697
8531928;24559852;1.5593499;-77.3582302
8546155;24561991;1.6145285;-77.1317734
