Codigo;Orden;latitud;longitud
1246463;24536726;1.6458077,-77.0218113;
1088368;24536746;1.6439864,-77.0213433;
1230804;24536755;1.6447626,-77.0218807;
1064584;24536780;1.640886,-77.0250579;
1064604;24536789;1.6404951,-77.0276768;
1019206;24537242;1.6709257,-77.0103439;
1088691;24537349;1.6013441,-76.9719197;
642116;24537353;1.6010236,-76.973877;
1132012;24537360;1.577306,-76.9653846;
1034886;24537390;1.6714519,-77.0093113;
1082363;24537416;1.6702453,-77.0088703;
1239882;24537429;1.6685164,-77.0162814;
8532265;24537465;1.6691838,-77.0123128;
1086516;24537487;1.6708954,-77.0095428;
361236;24537544;1.669764,-77.0093591;
361220;24537553;1.6709631,-77.0102193;
362112;24537559;1.6692639,-77.0119124;
1172925;24537585;1.6670506,-77.0136327;
361242;24537590;1.6697527,-77.0097131;
361240;24537725;1.669832,-77.0097191;
1029980;24537899;1.4715153,-77.0797253;
1073824;24538003;1.6786299,-77.0440589;
590072;24562587;1.6692476,-77.0077072;
1203582;24563222;1.6045798,-76.9648185;
1087149;24563712;1.5992585,-76.9732605;
1116957;24563733;1.6258859,-77.0043346;
1174698;24563785;1.4808351,-77.0746682;
645775;24566154;1.458586,-77.0578918;
1228632;24566319;1.4531404,-77.0528304;
361900;24566336;1.671372,-77.009328;
501199;24566345;1.6710525,-77.0094234;
361898;24566353;1.6712882,-77.0093882;
1090519;24566363;1.6713919,-77.0092768;
361910;24566370;1.6716502,-77.0101308;
8527266;24566380;1.6711752,-77.010227;
1155737;24566391;1.4510828,-77.0564699;
1155738;24566405;1.4484271,-77.0561624;
630859;24566430;1.4756551,-77.0229953;
1160895;24566442;1.4768044,-77.0124304;
1164187;24566451;1.4773239,-77.0168092;
584132;24566546;1.4628436,-77.0264286;
1087933;24566936;1.6175929,-76.9667407;
529191;24566989;1.6361155,-77.0940285;
1214534;24570111;1.471412,-77.081088;
563883;24570328;1.6191964,-76.9428032;
366288;24570407;1.6663825,-77.0524014;
8559681;24579131;1.5391185,-77.0099732;
361190;24579180;1.6703947,-77.0088434;
463846;24600357;1.6714403,-76.9918543;
1076151;24648724;1.4078166,-77.021349;
1170337;24648732;1.4065637,-77.0219314;
1076145;24648736;1.407042,-77.0218727;
403620;24648743;1.4052782,-77.0226261;
1175337;24648802;1.4051843,-77.022954;
403622;24648811;1.4041611,-77.0236113;
1175319;24648818;1.4035496,-77.0239036;
403596;24648823;1.4061849,-77.022223;
403594;24648829;1.4065045,-77.0227983;
403554;24648835;1.4064856,-77.0226387;
583980;24648838;1.4064986,-77.0230052;
403592;24648850;1.4064165,-77.0232286;
1209725;24648873;1.4031515,-77.0251552;
552123;24648880;1.4086224,-76.9994831;
552125;24648889;1.4092744,-76.9992266;
552121;24648899;1.4057166,-77.0004981;
555646;24649044;1.6698533,-77.0116597;
362146;24649057;1.6699514,-77.0117085;
8562406;24649061;1.6018613,-76.9665419;
1086261;24649066;1.6698821,-77.0117029;
8562408;24649106;1.603516,-76.9730376;
8562409;24649126;1.6019711,-76.9726574;
8562411;24649162;1.6045472,-76.9641896;
8562433;24649520;1.6063916,-76.9649831;
1015124;24651349;1.6672306,-77.0136283;
1231939;24651355;1.6679753,-77.0129914;
361872;24651361;1.6687508,-77.0103833;
